,Year,Month,Number_of_Questions,Number_of_Answers,Percent_Questions_with_Answers
0,2009,1,15993,70979,99.8
1,2009,2,17723,74516,99.8
2,2009,3,20604,79932,99.8
3,2009,4,21495,81044,99.8
4,2009,5,25969,94030,99.7
5,2009,6,28498,101825,99.8
6,2009,7,32691,110137,99.6
7,2009,8,32945,104885,99.5
8,2009,9,33211,102318,99.6
9,2009,10,36525,110163,99.6
10,2009,11,38698,116272,99.6
11,2009,12,37986,113292,99.6
12,2010,1,45163,132423,99.5
13,2010,2,45009,125663,99.3
14,2010,3,52479,141717,99.3
15,2010,4,50283,131479,99.2
16,2010,5,52240,133213,99.2
17,2010,6,56036,139012,99.0
18,2010,7,61144,150113,99.0
19,2010,8,63969,155605,98.9
20,2010,9,61518,147757,98.8
21,2010,10,64097,152166,98.8
22,2010,11,70025,168305,98.9
23,2010,12,69928,164113,98.8
24,2011,1,80377,189610,98.7
25,2011,2,83414,189907,98.6
26,2011,3,101592,232376,98.5
27,2011,4,96200,215017,98.3
28,2011,5,101032,220653,97.8
29,2011,6,99885,216967,97.6
30,2011,7,101472,216118,97.5
31,2011,8,108061,228517,97.2
32,2011,9,102987,211617,96.8
33,2011,10,102315,205810,96.8
34,2011,11,109900,222431,96.5
35,2011,12,104641,210515,96.4
36,2012,1,117245,236124,96.2
37,2012,2,125072,246630,96.3
38,2012,3,135077,265579,96.1
39,2012,4,130195,248392,95.8
40,2012,5,135795,256229,95.5
41,2012,6,132025,247018,95.4
42,2012,7,143378,265898,95.4
43,2012,8,142679,263210,95.0
44,2012,9,133444,242015,94.2
45,2012,10,151364,272249,93.8
46,2012,11,149515,260826,93.4
47,2012,12,136592,240140,93.8
48,2013,1,159109,279306,93.8
49,2013,2,154613,269042,94.0
50,2013,3,175400,303780,93.4
51,2013,4,173242,293703,92.9
52,2013,5,168514,284842,92.1
53,2013,6,160333,268806,91.9
54,2013,7,179108,301573,91.6
55,2013,8,172461,293767,91.7
56,2013,9,167707,282103,91.3
57,2013,10,186688,310571,91.2
58,2013,11,178676,289747,90.8
59,2013,12,167551,274523,91.0
60,2014,1,191428,310956,90.8
61,2014,2,190476,301145,90.2
62,2014,3,210373,324697,89.7
63,2014,4,197258,298016,89.2
64,2014,5,178867,262405,88.9
65,2014,6,164964,244666,88.3
66,2014,7,179662,264519,88.4
67,2014,8,165744,242919,88.5
68,2014,9,168234,245846,88.1
69,2014,10,175244,253397,88.1
70,2014,11,168900,243023,88.1
71,2014,12,157362,227718,88.2
72,2015,1,168089,240165,87.8
73,2015,2,170455,242193,87.7
74,2015,3,192191,267811,87.1
75,2015,4,192103,278681,87.8
76,2015,5,187905,270173,87.3
77,2015,6,190052,270199,86.7
78,2015,7,197582,278869,86.7
79,2015,8,183337,257853,86.5
80,2015,9,179701,251573,86.1
81,2015,10,188446,259468,85.9
82,2015,11,180084,244315,85.8
83,2015,12,174311,241748,86.1
84,2016,1,183084,254902,86.4
85,2016,2,190391,262090,85.9
86,2016,3,203817,279386,85.9
87,2016,4,198842,270902,85.6
88,2016,5,191480,263101,85.6
89,2016,6,186238,252494,84.9
90,2016,7,178585,240396,84.8
91,2016,8,183478,246268,84.7
92,2016,9,173241,232596,84.7
93,2016,10,176950,233430,84.3
94,2016,11,176870,231671,84.1
95,2016,12,163849,217359,84.5
96,2017,1,178560,237337,84.5
97,2017,2,176903,234349,84.5
98,2017,3,203490,267747,84.1
99,2017,4,180432,234444,83.5
100,2017,5,188346,244470,83.6
101,2017,6,180055,233413,83.5
102,2017,7,181548,236539,83.7
103,2017,8,179357,232751,83.6
104,2017,9,163982,210819,83.2
105,2017,10,171915,218444,83.2
106,2017,11,170938,213950,82.5
107,2017,12,146904,184239,82.9
108,2018,1,162191,204931,83.0
109,2018,2,154861,194271,82.9
110,2018,3,175059,217925,82.3
111,2018,4,164311,203504,82.0
112,2018,5,169458,209218,81.7
113,2018,6,156290,191974,81.8
114,2018,7,161458,199128,81.9
115,2018,8,160391,199686,82.1
116,2018,9,146421,182850,82.2
117,2018,10,162654,201105,82.3
118,2018,11,152022,182921,81.5
119,2018,12,134233,164345,81.9
120,2019,1,151768,185844,82.1
121,2019,2,148594,182392,82.1
122,2019,3,163699,197790,81.5
123,2019,4,155963,185929,81.1
124,2019,5,153841,180452,80.7
125,2019,6,138303,163559,80.7
126,2019,7,153643,180842,80.7
127,2019,8,139339,165991,81.6
128,2019,9,139276,165627,81.3
129,2019,10,155432,182805,81.0
130,2019,11,150224,177414,81.7
131,2019,12,134399,158771,81.6
132,2020,1,148836,173465,80.9
133,2020,2,149056,169666,79.7
134,2020,3,190093,174686,66.4
135,2020,4,224921,203582,66.1
136,2020,5,227995,208631,66.5
137,2020,6,209466,193115,66.4
138,2020,7,201235,187051,67.0
139,2020,8,179196,167001,67.4
140,2020,9,173286,156827,66.0
141,2020,10,173912,156118,65.9
142,2020,11,166835,146512,64.9
143,2020,12,163984,145579,65.4
144,2021,1,175730,150146,63.2
145,2021,2,179895,131646,55.2
